City,Company,Size,Type,Revenue,Headquarter,Founded,Industry,Job,Internship,Base_Pay,Low,25_%,75_%,High,Additional_Pay_Avg,Cash_Bonus,Stock_Bonus,Total_Pay,Confidence,Reviews,Jobs,Salaries,Interviews,Benefits
"cincinnati, oh",Strap,0,0,0,0,0.0,0,"Strap Data Scientist Salaries in Cincinnati, OH Area",0,"$88,021 - $95,851",0,0,0,0,0,0,0,0,Low Confidence,1,0,1,0,0
"cincinnati, oh",United Installs,0,0,0,0,0.0,0,"United Installs Data Scientist Salaries in Cincinnati, OH Area",0,"$75,377 - $81,700",0,0,0,0,0,0,0,0,Low Confidence,0,0,1,0,0
"cincinnati, oh",84.51°,1001 to 5000 Employees,Subsidiary or Business Segment,Unknown / Non-Applicable,"Cincinnati, OH",2015.0,Consulting,"84.51° Senior Data Scientist Salaries in Cincinnati, OH Area",0,"$96,296",$88K,$91K,$104K,$123K,"$8,675","$8,675 Avg","$8,675 Avg","$101,515",Very High Confidence,183,38,446,102,72
"cincinnati, oh",84.51°,1001 to 5000 Employees,Subsidiary or Business Segment,Unknown / Non-Applicable,"Cincinnati, OH",2015.0,Consulting,"84.51° Lead Data Scientist Salaries in Cincinnati, OH Area",0,"$117,758",$91K,$112K,$126K,$147K,"$11,715","$11,715 Avg","$11,715 Avg","$125,549",Very High Confidence,183,38,446,102,72
"cincinnati, oh",84.51°,1001 to 5000 Employees,Subsidiary or Business Segment,Unknown / Non-Applicable,"Cincinnati, OH",2015.0,Consulting,"84.51° Data Science Salaries in Cincinnati, OH Area",INTERNSHIP,"$56,158",$56K,$56K,$57K,$57K,0,0,0,"$56,158",Low Confidence,183,38,0,102,72
"cincinnati, oh",Procter & Gamble,10000+ Employees,Company - Public (PG),$10+ billion (USD),"Cincinnati, OH",1837.0,Consumer Products Manufacturing,"Procter & Gamble Senior Data Scientist Salaries in Cincinnati, OH Area",0,"$176,280 - $176,398",0,0,0,0,"$30,468",0,0,0,Low Confidence,11k,1.6k,15k,4.3k,2.6k
"Cleveland, oh",IBM,10000+ Employees,Company - Public (IBM),$10+ billion (USD),"Armonk, NY",1911.0,IT Services,"IBM Data Scientist Salaries in Cleveland, OH Area",0,"$104,635",$86K,$100K,$127K,$138K,"$1,206","$1,206 Avg","$1,206 Avg","$104,780",Very High Confidence,76k,19k,127k,11k,22k
"Cleveland, oh",IBM,10000+ Employees,Company - Public (IBM),$10+ billion (USD),"Armonk, NY",1911.0,IT Services,"IBM Data Scientist Salaries in Cleveland, OH Area",0,"$104,635",$86K,$100K,$127K,$138K,"$1,206","$1,206 Avg","$1,206 Avg","$104,780",Very High Confidence,76k,19k,127k,11k,22k
"Cleveland, oh",Progressive Insurance,10000+ Employees,Company - Public (PGR),$10+ billion (USD),"Cleveland, OH",1937.0,Insurance Carriers,"Progressive Insurance Data Scientist Salaries in Cleveland, OH Area",0,"$112,302",$109K,$110K,$118K,$120K,0,0,0,"$112,302",Very High Confidence,4.0k,745,7.3k,2.1k,1.3k
"Cleveland, oh",Cleveland Clinic,10000+ Employees,Nonprofit Organization,$2 to $5 billion (USD),"Cleveland, OH",1921.0,Health Care Services & Hospitals,"Cleveland Clinic Data Scientist Salaries in Cleveland, OH Area",0,"$76,212",$65K,$67K,$82K,$83K,0,0,0,"$76,212",High Confidence,2.7k,9.2k,13k,555,810
"Cleveland, oh",Parker Hannifin,10000+ Employees,Company - Public (PH),$10+ billion (USD),"Cleveland, OH",1917.0,Industrial Manufacturing,"Parker Hannifin Data Scientist Salaries in Cleveland, OH Area",0,"$91,542 - $102,095",0,0,0,0,0,0,0,0,Low Confidence,2.1k,1.1k,3.8k,323,625
"Cleveland, oh",Lubrizol,10000+ Employees,Company - Private,$5 to $10 billion (USD),"Wickliffe, OH",1928.0,Chemical Manufacturing,"Lubrizol Data Scientist Salaries in Cleveland, OH Area",0,"$107,696 - $136,206",0,0,0,0,"$8,867",0,0,0,Low Confidence,519,336,988,119,165
"Cleveland, oh",Explorys,0,0,0,0,0.0,0,"Explorys Data Scientist Salaries in Cleveland, OH Area",0,"$83,646 - $91,346",0,0,0,0,0,0,0,0,Low Confidence,15,2,41,12,6
"Cleveland, oh",PwC,10000+ Employees,Company - Private,$5 to $10 billion (USD),"New York, NY",1998.0,Accounting,"PwC Data Scientist Salaries in Cleveland, OH Area",0,"$105,736 - $114,717",0,0,0,0,0,0,0,0,Low Confidence,48k,15k,90k,13k,9.5k
"Cleveland, oh",UnitedHealth Group,10000+ Employees,Company - Public (UNH),$10+ billion (USD),"Minnetonka, MN",1977.0,Health Care Services & Hospitals,"UnitedHealth Group Data Scientist Salaries in Cleveland, OH Area",0,"$87,722 - $94,261",0,0,0,0,"$4,075",0,0,0,Low Confidence,13k,7.4k,19k,3.8k,5.0k
"Cleveland, oh",Dollar Tree,10000+ Employees,Company - Public (DLTR),$10+ billion (USD),"Chesapeake, VA",,General Merchandise & Superstores,"Dollar Tree Data Scientist Hourly Pay in Cleveland, OH Area",PART TIME,$9 - $10,0,0,0,0,0,0,0,0,Low Confidence,5.4k,16k,7.6k,728,772
"Cleveland, oh",Visa Inc.,10000+ Employees,Company - Public (V),$10+ billion (USD),"Foster City, CA",1958.0,IT Services,"Visa Inc. Data Scientist Salaries in Cleveland, OH Area",0,"$86,401 - $93,582",0,0,0,0,0,0,0,0,Low Confidence,4.3k,1.6k,8.7k,1.5k,1.9k
"Cleveland, oh",Farmers Insurance Group,10000+ Employees,Subsidiary or Business Segment,$1 to $2 billion (USD),"Woodland Hills, CA",1928.0,Insurance Carriers,"Farmers Insurance Group Data Scientist Salaries in Cleveland, OH Area",0,"$106,759 - $117,010",0,0,0,0,0,0,0,0,Low Confidence,4.3k,1.2k,6.1k,917,1.2k
"Cleveland, oh",McKesson,10000+ Employees,Company - Public (MCK),$10+ billion (USD),"Irving, TX",1833.0,Health Care Services & Hospitals,"McKesson Data Scientist Salaries in Cleveland, OH Area",0,"$127,596 - $136,625",0,0,0,0,0,0,0,0,Low Confidence,4.4k,804,6.8k,769,1.6k
"Cleveland, oh",KeyBank,10000+ Employees,Company - Public (KEY),$5 to $10 billion (USD),"Cleveland, OH",1849.0,Banks & Credit Unions,"KeyBank Data Scientist Salaries in Cleveland, OH Area",0,"$117,691 - $127,938",0,0,0,0,0,0,0,0,Low Confidence,2.2k,933,4.1k,580,852
"Cleveland, oh",Penske Truck Leasing,10000+ Employees,Company - Private,$5 to $10 billion (USD),"Reading, PA",1969.0,Transportation Management,"Penske Truck Leasing Data Scientist Salaries in Cleveland, OH Area",0,"$90,750 - $97,667",0,0,0,0,0,0,0,0,Low Confidence,1.4k,2.7k,3.1k,215,340
"Cleveland, oh",Teradata,10000+ Employees,Company - Public (TDC),$2 to $5 billion (USD),"San Diego, CA",1979.0,Computer Hardware & Software,"Teradata Data Scientist Salaries in Cleveland, OH Area",0,"$74,600 - $82,164",0,0,0,0,0,0,0,0,Low Confidence,2.4k,528,4.9k,464,850
"Cleveland, oh",Avery Dennison,10000+ Employees,Company - Public (AVY),$5 to $10 billion (USD),"Glendale, CA",1935.0,Miscellaneous Manufacturing,"Avery Dennison Data Scientist Salaries in Cleveland, OH Area",INTERNSHIP,"$46,313 - $50,313",0,0,0,0,0,0,0,0,Low Confidence,1.3k,437,0,270,419
"Cleveland, oh",The J.M. Smucker Co.,5001 to 10000 Employees,Company - Public (SJM),$5 to $10 billion (USD),"Orrville, OH",1897.0,Food & Beverage Manufacturing,"The J.M. Smucker Co. Data Scientist Salaries in Cleveland, OH Area",0,"$97,110 - $105,306",0,0,0,0,"$5,438",0,0,0,Low Confidence,661,193,1.1k,157,192
"Cleveland, oh",AmTrust Financial,5001 to 10000 Employees,Company - Private,$5 to $10 billion (USD),"New York, NY",1998.0,Insurance Carriers,"AmTrust Financial Data Scientist Salaries in Cleveland, OH Area",0,"$151,366 - $163,999",0,0,0,0,$17,0,0,0,Low Confidence,706,0,1.0k,119,211
"Cleveland, oh",MetroHealth System,5001 to 10000 Employees,Hospital,$1 to $2 billion (USD),"Cleveland, OH",1837.0,Health Care Services & Hospitals,"MetroHealth System Data Scientist Salaries in Cleveland, OH Area",0,"$71,579 - $78,735",0,0,0,0,0,0,0,0,Low Confidence,364,201,709,36,90
"Cleveland, oh",Swagelok,5001 to 10000 Employees,Company - Private,$100 to $500 million (USD),"Solon, OH",1947.0,Industrial Manufacturing,"Swagelok Data Scientist Salaries in Cleveland, OH Area",0,"$106,391 - $116,171",0,0,0,0,0,0,0,0,Low Confidence,443,296,601,78,148
"Cleveland, oh",Dealer Tire,501 to 1000 Employees,Company - Private,$2 to $5 billion (USD),"Cleveland, OH",2001.0,Wholesale,"Dealer Tire Data Scientist Salaries in Cleveland, OH Area",0,"$105,477 - $112,977",0,0,0,0,0,0,0,0,Low Confidence,228,168,412,42,90
"Cleveland, oh",Medical Mutual,1001 to 5000 Employees,Nonprofit Organization,$1 to $2 billion (USD),"Cleveland, OH",1945.0,Insurance Carriers,"Medical Mutual Data Scientist Salaries in Cleveland, OH Area",0,"$112,084 - $122,006",0,0,0,0,0,0,0,0,Low Confidence,198,48,326,34,90
"Cleveland, oh",DialogTech,201 to 500 Employees,Company - Private,Unknown / Non-Applicable,"Chicago, IL",2007.0,IT Services,"DialogTech Data Scientist Salaries in Cleveland, OH Area",0,"$102,769 - $111,814",0,0,0,0,0,0,0,0,Low Confidence,106,0,159,41,45
"Cleveland, oh",Vendors Exchange International,201 to 500 Employees,Company - Private,$10 to $25 million (USD),"Cleveland, OH",1959.0,Building & Personnel Services,"Vendors Exchange International Data Scientist Salaries in Cleveland, OH Area",INTERNSHIP,"$32,330 - $34,460",0,0,0,0,0,0,0,0,Low Confidence,25,3,0,1,17
"Cleveland, oh",The Fedeli Group,51 to 200 Employees,Company - Private,Unknown / Non-Applicable,"Independence, OH",,Insurance Agencies & Brokerages,"The Fedeli Group Data Scientist Salaries in Cleveland, OH Area",0,"$61,661 - $67,168",0,0,0,0,0,0,0,0,Low Confidence,8,0,10,0,3
"Cleveland, oh",KJG Architecture,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,"West Lafayette, IN",,0,"KJG Architecture Data Scientist Salaries in Cleveland, OH Area",0,"$58,835 - $63,758",0,0,0,0,0,0,0,0,Low Confidence,2,0,7,0,1
"Cleveland, oh",Progressive Insurance,10000+ Employees,Company - Public (PGR),$10+ billion (USD),"Cleveland, OH",1937.0,Insurance Carriers,"Progressive Insurance Senior Data Scientist Salaries in Cleveland, OH Area",0,"$110,421",$107K,$108K,$125K,$126K,"$31,911","$31,911 Avg","$31,911 Avg","$123,083",High Confidence,4.0k,745,7.3k,2.1k,1.3k
"Cleveland, oh",Cleveland Clinic,10000+ Employees,Nonprofit Organization,$2 to $5 billion (USD),"Cleveland, OH",1921.0,Health Care Services & Hospitals,"Cleveland Clinic Data Scientist Salaries in Cleveland, OH Area",0,"$76,212",$65K,$67K,$82K,$83K,0,0,0,"$76,212",High Confidence,2.7k,9.2k,13k,555,810
"Cleveland, oh",Cleveland Clinic,10000+ Employees,Nonprofit Organization,$2 to $5 billion (USD),"Cleveland, OH",1921.0,Health Care Services & Hospitals,"Cleveland Clinic Data Scientist II Salaries in Cleveland, OH Area",0,"$64,701 - $107,945",0,0,0,0,0,0,0,0,High Confidence,2.7k,9.2k,13k,555,810
"Cleveland, oh",Dealer Tire,501 to 1000 Employees,Company - Private,$2 to $5 billion (USD),"Cleveland, OH",2001.0,Wholesale,"Dealer Tire Senior Data Scientist Salaries in Cleveland, OH Area",0,"$117,189 - $144,416",0,0,0,0,"$16,777",0,0,0,Low Confidence,228,168,412,42,90
"Cleveland, oh",Moen,201 to 500 Employees,Subsidiary or Business Segment,$50 to $100 million (USD),"North Olmsted, OH",,Wholesale,"Moen Senior Data Scientist Salaries in Cleveland, OH Area",0,"$111,030 - $132,917",0,0,0,0,0,0,0,0,Low Confidence,203,76,311,39,42
"Cleveland, oh",Progressive Insurance,10000+ Employees,Company - Public (PGR),$10+ billion (USD),"Cleveland, OH",1937.0,Insurance Carriers,"Progressive Insurance Lead Data Scientist Salaries in Cleveland, OH Area",0,"$106,154 - $119,659",0,0,0,0,"$26,720",0,0,0,Low Confidence,4.0k,745,7.3k,2.1k,1.3k
"Cleveland, oh",Dealer Tire,501 to 1000 Employees,Company - Private,$2 to $5 billion (USD),"Cleveland, OH",2001.0,Wholesale,"Dealer Tire Data Science Salaries in Cleveland, OH Area",INTERNSHIP,"$38,736 - $41,357",0,0,0,0,0,0,0,0,Low Confidence,228,168,0,42,90
"Cleveland, oh",University Hospitals of Cleveland,10000+ Employees,Nonprofit Organization,$1 to $2 billion (USD),"Cleveland, OH",1863.0,Health Care Services & Hospitals,"University Hospitals of Cleveland Senior Data Scientist Salaries in Cleveland, OH Area",0,"$126,994 - $139,961",0,0,0,0,0,0,0,0,Low Confidence,781,1.7k,1.6k,120,186
"Cleveland, oh",Atos,10000+ Employees,Company - Public (ATO),$10+ billion (USD),"Bezons, France",1919.0,IT Services,"Atos Senior Data Scientist Salaries in Cleveland, OH Area",0,"$121,479 - $133,373",0,0,0,0,"$12,732",0,0,0,Low Confidence,8.2k,828,9.9k,1.1k,2.2k
"Cleveland, oh",Remesh,51 to 200 Employees,Company - Private,Unknown / Non-Applicable,"New York, NY",2014.0,Enterprise Software & Network Solutions,"Remesh Senior Data Scientist Salaries in Cleveland, OH Area",0,"$148,396 - $162,768",0,0,0,0,0,0,0,0,Low Confidence,26,19,24,27,10
"Cleveland, oh",NDA,Unknown,Unknown,Unknown / Non-Applicable,"Nieuwegein, Netherlands",,0,"NDA Senior Data Scientist Salaries in Cleveland, OH Area",0,"$154,464 - $167,742",0,0,0,0,0,0,0,0,Low Confidence,10,0,18,1,3
"Cleveland, oh",Dealer Tire,501 to 1000 Employees,Company - Private,$2 to $5 billion (USD),"Cleveland, OH",2001.0,Wholesale,"Dealer Tire Junior Data Scientist Salaries in Cleveland, OH Area",0,"$72,530 - $77,120",0,0,0,0,"$7,487",0,0,0,Low Confidence,228,168,412,42,90
"Cleveland, oh",Cleveland State,1001 to 5000 Employees,College / University,$100 to $500 million (USD),"Cleveland, OH",1965.0,Colleges & Universities,"Cleveland State Data Analyst/Data Scientist Salaries in Cleveland, OH Area",CONTRACTOR,"$48,142 - $52,465",0,0,0,0,0,0,0,0,Low Confidence,382,24,552,39,70
"Cleveland, oh",Cleveland Clinic,10000+ Employees,Nonprofit Organization,$2 to $5 billion (USD),"Cleveland, OH",1921.0,Health Care Services & Hospitals,"Cleveland Clinic Associate Data Scientist Salaries in Cleveland, OH Area",0,"$69,756 - $75,229",0,0,0,0,0,0,0,0,Low Confidence,2.7k,9.2k,13k,555,810
"columbus, oh",Nationwide,10000+ Employees,Company - Private,$10+ billion (USD),"Columbus, OH",1925.0,Insurance Carriers,"Nationwide Data Scientist Salaries in Columbus, OH Area",0,"$102,645",$84K,$100K,$108K,$111K,"$3,145","$4,193 Avg","$4,193 Avg","$102,683",Very High Confidence,4.2k,557,7.3k,721,1.3k
"columbus, oh",Nationwide,10000+ Employees,Company - Private,$10+ billion (USD),"Columbus, OH",1925.0,Insurance Carriers,"Nationwide Data Scientist Salaries in Columbus, OH Area",0,"$102,645",$84K,$100K,$108K,$111K,"$3,145","$4,193 Avg","$4,193 Avg","$102,683",Very High Confidence,4.2k,557,7.3k,721,1.3k
"columbus, oh",Root Insurance,201 to 500 Employees,Company - Public (ROOT),$100 to $500 million (USD),"Columbus, OH",2015.0,Insurance Carriers,"Root Insurance Data Scientist Salaries in Columbus, OH Area",0,"$128,469",$84K,$109K,$144K,$150K,"$31,904","$31,904 Avg","$31,904 Avg","$128,469",Very High Confidence,110,33,280,72,36
"columbus, oh",J.P. Morgan,10000+ Employees,Company - Public (JPM),$10+ billion (USD),"New York, NY",1799.0,Investment Banking & Asset Management,"J.P. Morgan Data Scientist Salaries in Columbus, OH Area",0,"$120,203",$99K,$100K,$131K,$147K,"$20,373","$20,373 Avg","$20,373 Avg","$120,556",High Confidence,30k,47,58k,9.8k,8.8k
"columbus, oh",Citizens,10000+ Employees,Company - Public (CFG),$5 to $10 billion (USD),"Providence, RI",1828.0,Banks & Credit Unions,"Citizens Data Scientist Salaries in Columbus, OH Area",0,"$109,581",$91K,$96K,$110K,$110K,"$10,187","$10,187 Avg","$10,187 Avg","$109,581",Very High Confidence,3.0k,1.8k,5.7k,558,1.0k
"columbus, oh",IBM,10000+ Employees,Company - Public (IBM),$10+ billion (USD),"Armonk, NY",1911.0,IT Services,"IBM Data Scientist Salaries in Columbus, OH Area",0,"$95,606 - $129,861",0,0,0,0,0,0,0,0,Low Confidence,76k,19k,127k,11k,22k
"columbus, oh",Express,10000+ Employees,Company - Public (EXPR),$2 to $5 billion (USD),"Columbus, OH",1980.0,"Department, Clothing, & Shoe Stores","Express Data Scientist Salaries in Columbus, OH Area",0,"$101,607 - $129,450",0,0,0,0,0,0,0,0,Low Confidence,3.1k,1.4k,3.8k,855,497
"columbus, oh",Battelle,10000+ Employees,Nonprofit Organization,$5 to $10 billion (USD),"Columbus, OH",1929.0,Research & Development,"Battelle Data Scientist Salaries in Columbus, OH Area",0,"$89,291 - $126,871",0,0,0,0,"$4,263",0,0,0,Low Confidence,727,403,2.0k,127,216
"columbus, oh",Alliance Data,10000+ Employees,Company - Public (ADS),$5 to $10 billion (USD),"Columbus, OH",1996.0,Advertising & Marketing,"Alliance Data Data Scientist Salaries in Columbus, OH Area",0,"$85,096 - $142,613",0,0,0,0,"$10,084",0,0,0,Low Confidence,758,160,1.9k,153,329
"columbus, oh",Chase,10000+ Employees,Subsidiary or Business Segment,$10+ billion (USD),"New York, NY",1799.0,Banks & Credit Unions,"Chase Data Scientist Salaries in Columbus, OH Area",0,"$111,282 - $122,209",0,0,0,0,"$12,578",0,0,0,Low Confidence,8.4k,14k,11k,1.2k,2.8k
"columbus, oh",Abercrombie & Fitch,10000+ Employees,Company - Public (ANF),$2 to $5 billion (USD),"New Albany, OH",1892.0,"Department, Clothing, & Shoe Stores","Abercrombie & Fitch Data Scientist Salaries in Columbus, OH Area",0,"$84,564 - $110,265",0,0,0,0,0,0,0,0,Low Confidence,6.9k,1.3k,8.8k,2.5k,1.2k
"columbus, oh",Nationwide,10000+ Employees,Company - Private,$10+ billion (USD),"Columbus, OH",1925.0,Insurance Carriers,"Nationwide Data Scientist Salaries in Columbus, OH Area",CONTRACTOR,"$73,692 - $106,583",0,0,0,0,0,0,0,0,Low Confidence,4.2k,557,7.3k,721,1.3k
"columbus, oh",Cardinal Health,10000+ Employees,Company - Public (CAH),$10+ billion (USD),"Dublin, OH",1971.0,Wholesale,"Cardinal Health Data Scientist Salaries in Columbus, OH Area",0,"$99,427 - $121,723",0,0,0,0,0,0,0,0,Low Confidence,3.0k,2.2k,5.1k,579,930
"columbus, oh",Huntington National Bank,10000+ Employees,Company - Public (HBAN),$10+ billion (USD),"Columbus, OH",1866.0,Banks & Credit Unions,"Huntington National Bank Data Scientist Salaries in Columbus, OH Area",0,"$63,103 - $151,058",0,0,0,0,0,0,0,0,Low Confidence,1.7k,775,2.8k,305,510
"columbus, oh",AEP,10000+ Employees,Company - Public (AEP),$10+ billion (USD),"Columbus, OH",1906.0,Energy,"AEP Data Scientist Salaries in Columbus, OH Area",0,"$83,601 - $133,954",0,0,0,0,"$7,978",0,0,0,Low Confidence,584,125,981,105,114
"columbus, oh",CoverMyMeds,1001 to 5000 Employees,Subsidiary or Business Segment,$100 to $500 million (USD),"Columbus, OH",2008.0,Health Care Services & Hospitals,"CoverMyMeds Data Scientist Salaries in Columbus, OH Area",0,"$101,353 - $143,158",0,0,0,0,"$10,492",0,0,0,Low Confidence,531,6,893,163,152
"columbus, oh",State Auto Insurance Companies,1001 to 5000 Employees,Company - Public (STFC),$1 to $2 billion (USD),"Columbus, OH",1921.0,Insurance Carriers,"State Auto Insurance Companies Data Scientist Salaries in Columbus, OH Area",0,"$68,159 - $88,038",0,0,0,0,0,0,0,0,Low Confidence,281,82,373,28,91
"columbus, oh",Upstart,201 to 500 Employees,Company - Public (UPST),Unknown / Non-Applicable,"San Mateo, CA",2012.0,Lending,"Upstart Data Scientist Salaries in Columbus, OH Area",0,"$124,427 - $152,294",0,0,0,0,"$26,869",0,0,0,Low Confidence,103,138,179,154,40
"columbus, oh",PLUS Express,0,0,0,0,0.0,0,"PLUS Express Data Scientist Salaries in Columbus, OH Area",0,"$92,585 - $105,940",0,0,0,0,0,0,0,0,Low Confidence,0,0,14,0,0
"columbus, oh",J.P. Morgan,10000+ Employees,Company - Public (JPM),$10+ billion (USD),"New York, NY",1799.0,Investment Banking & Asset Management,"J.P. Morgan Data Scientist Hourly Pay in Columbus, OH Area",CONTRACTOR,$43 - $46,0,0,0,0,0,0,0,0,Low Confidence,30k,47,58k,9.8k,8.8k
"columbus, oh",UnitedHealth Group,10000+ Employees,Company - Public (UNH),$10+ billion (USD),"Minnetonka, MN",1977.0,Health Care Services & Hospitals,"UnitedHealth Group Data Scientist Salaries in Columbus, OH Area",0,"$89,596 - $97,408",0,0,0,0,$1,0,0,0,Low Confidence,13k,7.4k,19k,3.8k,5.0k
"columbus, oh",Progressive Insurance,10000+ Employees,Company - Public (PGR),$10+ billion (USD),"Cleveland, OH",1937.0,Insurance Carriers,"Progressive Insurance Data Scientist Salaries in Columbus, OH Area",0,"$115,132 - $122,783",0,0,0,0,0,0,0,0,Low Confidence,4.0k,745,7.3k,2.1k,1.3k
"columbus, oh",Nationwide,10000+ Employees,Company - Private,$10+ billion (USD),"Columbus, OH",1925.0,Insurance Carriers,"Nationwide Data Scientist Salaries in Columbus, OH Area",INTERNSHIP,"$48,622 - $53,356",0,0,0,0,0,0,0,0,Low Confidence,4.2k,557,0,721,1.3k
"columbus, oh",The Ohio State University,10000+ Employees,College / University,$5 to $10 billion (USD),"Columbus, OH",1870.0,Colleges & Universities,"The Ohio State University Data Scientist Hourly Pay in Columbus, OH Area",PART TIME,$10 - $11,0,0,0,0,0,0,0,0,Low Confidence,3.3k,1.3k,6.6k,308,718
"columbus, oh",Citizens,10000+ Employees,Company - Public (CFG),$5 to $10 billion (USD),"Providence, RI",1828.0,Banks & Credit Unions,"Citizens Data Scientist Salaries in Columbus, OH Area",INTERNSHIP,"$95,625 - $104,374",0,0,0,0,0,0,0,0,Low Confidence,3.0k,1.8k,0,558,1.0k
"columbus, oh",L Brands,10000+ Employees,Company - Public (LB),$10+ billion (USD),"Columbus, OH",1963.0,"Department, Clothing, & Shoe Stores","L Brands Data Scientist Salaries in Columbus, OH Area",0,"$121,322 - $129,234",0,0,0,0,"$8,956",0,0,0,Low Confidence,1.2k,1,1.8k,217,356
"columbus, oh",Nationwide Children's Hospital,10000+ Employees,Nonprofit Organization,$1 to $2 billion (USD),"Columbus, OH",1892.0,Health Care Services & Hospitals,"Nationwide Children's Hospital Data Scientist Salaries in Columbus, OH Area",0,"$89,768 - $98,342",0,0,0,0,0,0,0,0,Low Confidence,715,819,1.3k,135,313
"columbus, oh",JPMorgan Chase & Co,10000+ Employees,Company - Public,Unknown / Non-Applicable,"Los Angeles, CA",,0,"JPMorgan Chase & Co Data Scientist Salaries in Columbus, OH Area",0,"$91,953 - $99,259",0,0,0,0,"$2,500",0,0,0,Low Confidence,530,0,1.1k,86,145
"columbus, oh",Owens Corning,10000+ Employees,Company - Public (OC),$5 to $10 billion (USD),"Toledo, OH",1938.0,Miscellaneous Manufacturing,"Owens Corning Data Scientist Salaries in Columbus, OH Area",0,"$89,316 - $97,659",0,0,0,0,"$9,331",0,0,0,Low Confidence,742,312,1.3k,187,304
"columbus, oh",Honda R & D Americas,1001 to 5000 Employees,Company - Private,$25 to $50 million (USD),"Raymond, OH",1975.0,Transportation Equipment Manufacturing,"Honda R & D Americas Data Scientist Salaries in Columbus, OH Area",CONTRACTOR,"$90,115 - $98,082",0,0,0,0,0,0,0,0,Low Confidence,403,0,868,85,126
"columbus, oh",Huawei Technologies,10000+ Employees,Company - Private,$10+ billion (USD),"Shenzhen, China",1987.0,Telecommunications Services,"Huawei Technologies Data Scientist Salaries in Columbus, OH Area",INTERNSHIP,"$9,105 - $9,709",0,0,0,0,0,0,0,0,Low Confidence,8.7k,0,0,1.8k,2.2k
"columbus, oh",DNV GL,10000+ Employees,Company - Private,$2 to $5 billion (USD),"Høvik, Norway",1864.0,Energy,"DNV GL Data Scientist Salaries in Columbus, OH Area",0,"$75,980 - $82,114",0,0,0,0,0,0,0,0,Low Confidence,999,305,1.6k,172,353
"columbus, oh",US Geological Survey,5001 to 10000 Employees,Government,Unknown / Non-Applicable,"Herndon, VA",1879.0,Federal Agencies,"US Geological Survey Data Scientist Salaries in Columbus, OH Area",0,"$57,967 - $62,813",0,0,0,0,0,0,0,0,Low Confidence,441,46,708,59,99
"columbus, oh",BMW Group,10000+ Employees,Company - Public (BMW),$10+ billion (USD),"Munich, Germany",1916.0,Transportation Equipment Manufacturing,"BMW Group Data Scientist Salaries in Columbus, OH Area",INTERNSHIP,"$50,820 - $54,522",0,0,0,0,0,0,0,0,Low Confidence,3.5k,2.3k,0,621,571
"columbus, oh",American Chemical Society,1001 to 5000 Employees,Nonprofit Organization,$500 million to $1 billion (USD),"Washington, DC",1876.0,Membership Organizations,"American Chemical Society Data Scientist Salaries in Columbus, OH Area",0,"$94,697 - $102,497",0,0,0,0,0,0,0,0,Low Confidence,155,65,352,37,98
"columbus, oh",CAS,1001 to 5000 Employees,Subsidiary or Business Segment,$100 to $500 million (USD),"Columbus, OH",1907.0,Enterprise Software & Network Solutions,"CAS Data Scientist Salaries in Columbus, OH Area",0,"$112,978 - $121,828",0,0,0,0,0,0,0,0,Low Confidence,187,2,297,25,42
"columbus, oh",Alliance Data Card Services,5001 to 10000 Employees,Company - Public,$5 to $10 billion (USD),"Columbus, OH",1986.0,Banks & Credit Unions,"Alliance Data Card Services Data Scientist Salaries in Columbus, OH Area",0,"$109,994 - $118,700",0,0,0,0,0,0,0,0,Low Confidence,151,0,251,12,63
"columbus, oh",Olive,501 to 1000 Employees,Company - Private,Unknown / Non-Applicable,"Columbus, OH",2012.0,Enterprise Software & Network Solutions,"Olive Data Scientist Salaries in Columbus, OH Area",0,"$90,512 - $99,699",0,0,0,0,0,0,0,0,Low Confidence,121,161,197,43,37
"columbus, oh",BMW Financial Services,501 to 1000 Employees,Company - Private,$100 to $500 million (USD),"Hilliard, OH",1992.0,Lending,"BMW Financial Services Data Scientist Salaries in Columbus, OH Area",INTERNSHIP,"$51,457 - $55,798",0,0,0,0,0,0,0,0,Low Confidence,233,0,0,44,41
"columbus, oh",Eye Level Learning,1 to 50 Employees,Franchise,$1 to $5 million (USD),"London, United Kingdom",2015.0,0,"Eye Level Learning Data Scientist Salaries in Columbus, OH Area",PART TIME,"$90,076 - $97,548",0,0,0,0,0,0,0,0,Low Confidence,153,1,155,21,19
"columbus, oh",Root,51 to 200 Employees,Subsidiary or Business Segment,$25 to $50 million (USD),"Sylvania, OH",1984.0,Consulting,"Root Data Scientist Salaries in Columbus, OH Area",0,"$107,787 - $117,401",0,0,0,0,0,0,0,0,Low Confidence,36,32,79,4,22
"Dallas, Tx",Capital One,10000+ Employees,Company - Public (COF),$10+ billion (USD),"Mc Lean, VA",1994.0,Banks & Credit Unions,"Capital One Data Scientist Salaries in Dallas-Fort Worth, TX Area",0,"$117,657",$87K,$102K,$137K,$167K,"$11,117","$11,117 Avg","$11,117 Avg","$122,136",Very High Confidence,11k,22k,25k,5.3k,4.3k
